statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2020,DINSG,ICD10B,ICD10-N70-N77,21363
23131,2023,DINSG,ICD10B,ICD10-D80-D90,10808
23131,2021,DINSG,ICD10B,ICD10-E50-E64,3048
23131,2023,DINSG,ICD10B,ICD10-F00-F09,81662
23131,2014,DINSG,ICD10B,ICD10-A30-A49,202398
23131,2017,DINSG,ICD10B,ICD10-J80-J84,23537
23131,2023,DINSG,ICD10B,ICD10-Z30-Z39,490233
23131,2020,DINSG,ICD10B,ICD10-M95-M99,12224
23131,2016,DINSG,ICD10B,ICD10-R83-R89,1197
23131,2023,DINSG,ICD10B,ICD10-P10-P15,1535
23131,2014,DINSG,ICD10B,ICD10-S10-S19,29897
23131,2016,DINSG,ICD10B,ICD10-M91-M94,18913
23131,2014,DINSG,ICD10B,ICD10-H30-H36,74819
23131,2017,DINSG,ICD10B,ICD10-G10-G14,9345
23131,2019,DINSG,ICD10B,ICD10-C76-C80,127512
23131,2021,DINSG,ICD10B,ICD10-D70-D77,7039
23131,2022,DINSG,ICD10B,ICD10-Z55-Z65,82
23131,2020,DINSG,ICD10B,ICD10-K20-K31,273461
23131,2022,DINSG,ICD10B,ICD10-A75-A79,37
23131,2018,DINSG,ICD10B,ICD10-U60-U61,-
23131,2015,DINSG,ICD10B,ICD10-C43-C44,100494
23131,2023,DINSG,ICD10B,ICD10-O94-O99,31450
23131,2015,DINSG,ICD10B,ICD10-E00-E07,93432
23131,2014,DINSG,ICD10B,ICD10-A00-A09,259185
23131,2017,DINSG,ICD10B,ICD10-J20-J22,158980
23131,2020,DINSG,ICD10B,ICD10-P00-P04,4079
23131,2018,DINSG,ICD10B,ICD10-A70-A74,138
23131,2021,DINSG,ICD10B,ICD10-M45-M49,146460
23131,2017,DINSG,ICD10B,ICD10-O30-O48,309201
23131,2020,DINSG,ICD10B,ICD10-A00-A09,147199
23131,2019,DINSG,ICD10B,ICD10-N40-N51,133220
23131,2016,DINSG,ICD10B,ICD10-Q20-Q28,23270
23131,2016,DINSG,ICD10B,ICD10-N99-N99,11111
23131,2023,DINSG,ICD10B,ICD10-N17-N19,103579
23131,2016,DINSG,ICD10B,ICD10-N60-N64,22728
23131,2021,DINSG,ICD10B,ICD10-C45-C49,24993
23131,2017,DINSG,ICD10B,ICD10-H60-H62,8287
23131,2016,DINSG,ICD10B,ICD10-I30-I52,1072433
23131,2020,DINSG,ICD10B,ICD10-K70-K77,84820
23131,2015,DINSG,ICD10B,ICD10-N20-N23,129526
23131,2020,DINSG,ICD10B,ICD10-K35-K38,99586
23131,2023,DINSG,ICD10B,ICD10-N10-N16,190788
23131,2016,DINSG,ICD10B,ICD10-I60-I69,371766
23131,2023,DINSG,ICD10B,ICD10-F40-F48,132011
23131,2023,DINSG,ICD10B,ICD10-G20-G26,59219
23131,2017,DINSG,ICD10B,ICD10-T89-T89,1708
23131,2018,DINSG,ICD10B,ICD10-L40-L45,21182
23131,2017,DINSG,ICD10B,ICD10-R00-R09,252192
23131,2020,DINSG,ICD10B,ICD10-P75-P78,810
23131,2018,DINSG,ICD10B,ICD10-Z00-Z13,58645
23131,2014,DINSG,ICD10B,ICD10-I00-I02,522
23131,2022,DINSG,ICD10B,ICD10-M40-M43,27026
23131,2021,DINSG,ICD10B,ICD10-R25-R29,46576
23131,2023,DINSG,ICD10B,ICD10-S80-S89,199995
23131,2018,DINSG,ICD10B,ICD10-N25-N29,6754
23131,2019,DINSG,ICD10B,ICD10-C15-C26,340316
23131,2023,DINSG,ICD10B,ICD10-B00-B09,32588
23131,2019,DINSG,ICD10B,ICD10-N20-N23,133408
23131,2016,DINSG,ICD10B,ICD10-D80-D90,12657
23131,2014,DINSG,ICD10B,ICD10-D00-D09,30019
23131,2022,DINSG,ICD10B,ICD10-G90-G99,39202
23131,2017,DINSG,ICD10B,ICD10-U55-U55,-
23131,2016,DINSG,ICD10B,ICD10-C40-C41,8325
23131,2014,DINSG,ICD10B,ICD10-C50-C50,132926
23131,2020,DINSG,ICD10B,ICD10-Q50-Q56,12275
23131,2015,DINSG,ICD10B,ICD10-E40-E46,2564
23131,2018,DINSG,ICD10B,ICD10-K65-K67,23576
23131,2019,DINSG,ICD10B,ICD10-J95-J99,53988
23131,2015,DINSG,ICD10B,ICD10-K70-K77,88354
